geometry,lat,lon
POINT (77.52873272948717 12.888255564102565),12.888255564102565,77.52873272948717
POINT (77.53370845897435 12.888255564102565),12.888255564102565,77.53370845897435
POINT (77.53868418846153 12.888255564102565),12.888255564102565,77.53868418846153
POINT (77.54365991794872 12.888255564102565),12.888255564102565,77.54365991794872
POINT (77.54863564743589 12.888255564102565),12.888255564102565,77.54863564743589
POINT (77.55361137692307 12.888255564102565),12.888255564102565,77.55361137692307
POINT (77.55858710641024 12.888255564102565),12.888255564102565,77.55858710641024
POINT (77.56356283589743 12.888255564102565),12.888255564102565,77.56356283589743
POINT (77.56853856538461 12.888255564102565),12.888255564102565,77.56853856538461
POINT (77.57351429487179 12.888255564102565),12.888255564102565,77.57351429487179
POINT (77.57849002435897 12.888255564102565),12.888255564102565,77.57849002435897
POINT (77.58346575384616 12.888255564102565),12.888255564102565,77.58346575384616
